,Unnamed: 0,Unnamed: 0.1,Post_ID,Comment,Likes,Comment_ID,Commenter_ID,created_time,keys
75,75,76,105314739733_10154480289924734,That's my son you hear on drums...,0,10154480289924734_10154480637294734,1.02072e+16,2016-07-04T03:05:33+0000,105314739733
76,76,77,105314739733_10154480289924734,"Happy Independence Day  from Honolulu,Hawaii Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌæÜ",0,10154480289924734_10154480979009734,1.02243e+15,2016-07-04T03:05:33+0000,105314739733
77,77,78,105314739733_10154480113994734,Nice fireworks!!,0,10154480113994734_10154481630629734,1.16777e+15,2016-07-04T01:08:04+0000,105314739733
78,78,79,105314739733_10154480099919734,On my way there!,1,10154480099919734_10154480107844734,1.01536e+16,2016-07-04T00:58:36+0000,105314739733
79,79,80,105314739733_10154480099919734,A blessed Fort of July celebration sir...from Philippines.. Especially from 107th CDC..1RCDG ARESCOM Philippine Army..God bless to everyone...Goodmoring...,2,10154480099919734_10154480193574734,2.97317e+14,2016-07-04T00:58:36+0000,105314739733
80,80,81,105314739733_10154480099919734,Loved the band!! You guys have us singing Journey all night..,0,10154480099919734_10154480529414734,1.01571e+16,2016-07-04T00:58:36+0000,105314739733
81,81,82,105314739733_10154480099919734,On  our way!!,0,10154480099919734_10154480212374734,1.01537e+16,2016-07-04T00:58:36+0000,105314739733
82,82,83,105314739733_10154480099919734,Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç,0,10154480099919734_10154480584009734,1.13299e+15,2016-07-04T00:58:36+0000,105314739733
83,83,84,105314739733_10154480099919734,I'm so glad & honored to watch & listen to your historic national anthem the star spangled banner where your great heroes did sacrifices to have your freedom...we salute you ...God Bless America you're the keeper of Democracy...we thanks you also for all your support to my country...in having your 7th fleet presence in the west Philippines sea God bless ...goodmirning sir..,0,10154480099919734_10154480166214734,2.97317e+14,2016-07-04T00:58:36+0000,105314739733
84,84,85,105314739733_10154480099919734,Happy Happy 4th if July Celebration to all ...May Our God bless us all & delivers us all from evil...,0,10154480099919734_10154480327229734,2.97317e+14,2016-07-04T00:58:36+0000,105314739733
85,85,86,105314739733_10154480099919734,Ft Carson is the best! Happy 4th! Thank you all!,0,10154480099919734_10154481116144734,5.81905e+14,2016-07-04T00:58:36+0000,105314739733
86,86,87,105314739733_10154480099919734,You people ROCK! Thanks for your sacrifice and service.,3,10154480099919734_10154480305044734,1.01544e+16,2016-07-04T00:58:36+0000,105314739733
87,87,88,105314739733_10154480099919734,"Cool, finally a 4th on the 3rd not raining.",2,10154480099919734_10154480269669734,1.02086e+16,2016-07-04T00:58:36+0000,105314739733
88,88,89,105314739733_10154480099919734,Happy 4th of july from philippines,2,10154480099919734_10154480110359734,6.47867e+14,2016-07-04T00:58:36+0000,105314739733
89,89,90,105314739733_10154480099919734,"Been there, a long time ago......HHC2/35 Armor!",1,10154480099919734_10154480163274734,1.31426e+15,2016-07-04T00:58:36+0000,105314739733
90,90,91,105314739733_10154480099919734,,0,10154480099919734_10154480303944734,4.90652e+14,2016-07-04T00:58:36+0000,105314739733
91,91,92,105314739733_10154480099919734,Sounds good,0,10154480099919734_10154480299754734,1.021e+16,2016-07-04T00:58:36+0000,105314739733
92,92,93,105314739733_10154480099919734,Wonderful performance good guys.,0,10154480099919734_10154480156854734,2.11465e+14,2016-07-04T00:58:36+0000,105314739733
93,93,94,105314739733_10154480099919734,Happy Fourth of July !,0,10154480099919734_10154481596914734,1.63401e+15,2016-07-04T00:58:36+0000,105314739733
94,94,95,105314739733_10154480099919734,Happy fourth blessings,0,10154480099919734_10154480280529734,1.54812e+15,2016-07-04T00:58:36+0000,105314739733
95,95,96,105314739733_10154480099919734,Hi I'm honored to watched & listen to your historic National,0,10154480099919734_10154480160704734,2.97317e+14,2016-07-04T00:58:36+0000,105314739733
96,96,97,105314739733_10154480099919734,Liesbeth.muntz,0,10154480099919734_10154480948674734,5.15356e+14,2016-07-04T00:58:36+0000,105314739733
97,97,98,105314739733_10154480099919734,Was there back in 1983 to 1985,0,10154480099919734_10154480230079734,7.24069e+14,2016-07-04T00:58:36+0000,105314739733
98,98,99,105314739733_10154480099919734,Nice guys good performance,0,10154480099919734_10154480114819734,1.46408e+14,2016-07-04T00:58:36+0000,105314739733
99,99,100,105314739733_10154480099919734,2/8 Inf HOOAH,0,10154480099919734_10154480222419734,2.64024e+14,2016-07-04T00:58:36+0000,105314739733
100,100,101,105314739733_10154480099919734,Joshua,0,10154480099919734_10154480388619734,1.36284e+15,2016-07-04T00:58:36+0000,105314739733
101,101,102,105314739733_10154480099919734,"Sorry we missed it! We left yesterday,  beautiful area!",0,10154480099919734_10154480109629734,1.24922e+15,2016-07-04T00:58:36+0000,105314739733
102,102,103,105314739733_10154480099919734,Get it tambourine man!,0,10154480099919734_10154480160184734,1.01543e+16,2016-07-04T00:58:36+0000,105314739733
103,103,104,105314739733_10154480073229734,Kurnesha Wall I wish we had known about this! Would've been cool to check out!,0,10154480073229734_10154480095629734,1.021e+16,2016-07-04T00:42:52+0000,105314739733
104,104,105,105314739733_10154480073229734,Wow it's good to watch you guys where here in New Zealand watching this live thank you,2,10154480073229734_10154480080559734,4.96157e+14,2016-07-04T00:42:52+0000,105314739733
105,105,106,105314739733_10154480073229734,They started at 930,0,10154480073229734_10154480368354734,1.02074e+16,2016-07-04T00:42:52+0000,105314739733
106,106,107,105314739733_10154480073229734,When is the fireworks scheduled to start?,1,10154480073229734_10154480262199734,1.32596e+15,2016-07-04T00:42:52+0000,105314739733
